state,county,city,address1,address2,date
Kansas,Barton,"Great Bend","3623 2nd St",,02/25/2005
Kansas,Pawnee,Larned,"201 Johnson St",,02/27/2005
Kansas,Greenwood,Eureka,"411 Walnut N St 1",,03/01/2005
Kansas,Labette,Bartlett,"1711 5000 Rd",,03/04/2005
Kansas,Reno,Hutchinson,"3 Sunset Dr",,03/07/2005
Kansas,Coffey,Gridley,"318 Reed",,03/07/2005
Kansas,Saline,Salina,"412 Prescott W Ave",,03/08/2005
Kansas,Saline,Salina,"607 Fourth S",,03/10/2005
Kansas,Reno,Hutchinson,"832 4th E Ave",,03/11/2005
Kansas,Woodson,Toronto,"Route 1 133m",,03/18/2005
Kansas,Crawford,Pittsburg,"412 23rd E St",,03/21/2005
Kansas,Mcpherson,Galva,"2425 Chisholm Rd",,03/21/2005
Kansas,Pratt,Byers,"100486 70 Nw Ave",,03/29/2005
Kansas,Montgomery,Independence,"Co. Rd 4200",,03/29/2005
Kansas,Barton,"Great Bend","2529 9th St",,04/01/2005
Kansas,Reno,Hutchinson,"714 A E Ave",,04/02/2005
Kansas,Neosho,Erie,"114 Railroad E St",,04/02/2005
Kansas,Geary,Milford,"12412 Hickock",,04/07/2005
Kansas,Sedgwick,Wichita,"1207 Mccormack W Ave",,04/09/2005
Kansas,Seward,Liberal,"2141 Sierra Dr",,04/12/2005
Kansas,Cloud,Jamestown,"615 Elm",,04/16/2005
Kansas,Reno,Hutchinson,"615 16th W St",,04/25/2005
Kansas,Miami,Osawatomie,"301 Kelly",,04/25/2005
Kansas,Cherokee,Galena,"2715 Wood S St",,04/27/2005
Kansas,Reno,Hutchinson,"629 Hendricks N St",,05/06/2005
Kansas,Leavenworth,Leavenworth,"602 Spruce St",,05/08/2005
Kansas,Cowley,"Arkansas City","215 1st S",,05/14/2005
Kansas,Geary,"Junction City","10306 Cutoff Rd",,05/18/2005
Kansas,Cherokee,Galena,"315 10th W",,05/26/2005
Kansas,Crawford,Pittsburg,"1913 Jfk St",,05/27/2005
Kansas,Crawford,Pittsburg,"2101 Timberlake Rd",,06/02/2005
Kansas,Labette,"Mound Valley","15019 Elk Rd",,06/06/2005
Kansas,Sedgwick,Wichita,"429 Seneca N St",,06/08/2005
Kansas,Sedgwick,Wichita,"212 Greenwood S 3",,07/01/2005
Kansas,Cherokee,Weir,"402 Pine E St",,07/01/2005
Kansas,Sherman,Goodland,"715 Center St",,07/01/2005
Kansas,Johnson,"Prairie Village","7526 Norwood",,07/07/2005
