state,county,city,address1,address2,date
Indiana,Gibson,Princeton,"500 Warnock W Lot 3a",,09/02/2004
Indiana,Floyd,"New Albany","2381 Craig Cooper Rd",,09/07/2004
Indiana,Jefferson,Madison,"130 Taft Drive F",,09/07/2004
Indiana,Decatur,Greensburg,"240 Warren N St",,09/08/2004
Indiana,Vanderburgh,Evansville,"1208 Henning Ave",,09/08/2004
Indiana,Knox,Vincennes,"523 10th S St",,09/09/2004
Indiana,Johnson,Greenwood,"843 Smith Valley W Rd",,09/10/2004
Indiana,Ripley,Milan,"2264 Friendship S Rd",,09/11/2004
Indiana,Vanderburgh,Evansville,"6505 St. Andrews Dr",,09/14/2004
Indiana,Shelby,Shelbyville,"556 Broadway E St",,09/16/2004
Indiana,Spencer,Richland,"7757 Sr 66 W",,09/16/2004
Indiana,Shelby,Shelbyville,"436 600 S W",,09/16/2004
Indiana,Perry,"Tell City","1843 Main St",,09/17/2004
Indiana,Knox,Bicknell,"5392 Bicknell N Rd",,09/20/2004
Indiana,Vigo,"Terre Haute","1341 4th Avenue",,09/21/2004
Indiana,Vigo,"West Terre Haute","621 7th S St",,09/21/2004
Indiana,Shelby,Fountaintown,"205 Ivy N St",,09/22/2004
Indiana,Bartholomew,Columbus,"3493 Cr 100 N W",,09/22/2004
Indiana,Clark,Charlestown,"4706 Blue Ridge",,09/23/2004
Indiana,"St. Joseph","South Bend","138 Altgeld E",,09/24/2004
Indiana,Rush,Rushville,"1021 Market W St",,09/26/2004
Indiana,Fountain,Tangier,"10384 Melon N Rd",,09/29/2004
Indiana,Shelby,Waldron,"108 Main N St",,09/29/2004
Indiana,Vigo,"West Terre Haute","2351 Leon Rd",,10/03/2004
Indiana,Johnson,Bargersville,"806 Old Plank Rd",,10/03/2004
Indiana,Miami,Peru,"2843 Hilltop Dr",,10/09/2004
Indiana,Switzerland,Vevay,"504 Pearl St",,10/11/2004
Indiana,Parke,Tangier,"10811 Melon N Rd",,10/11/2004
Indiana,Elkhart,Goshen,"305 Queen St",,10/12/2004
Indiana,Jasper,Wheatfield,"9312 200 W N",,10/14/2004
Indiana,Bartholomew,Jonesville,"309 Market St",,10/14/2004
Indiana,Knox,Vincennes,"20 Minneapolis E Ave",,10/16/2004
Indiana,Jefferson,Madison,"9507 Vernon Ridge E Rd",,10/18/2004
Indiana,Decatur,Westport,"10518 1200 S W",,10/21/2004
Indiana,Jackson,Seymour,"749 Us 31 N",,10/22/2004
Indiana,Vermillion,Cayuga,"402 Walnut W St",,10/26/2004
Indiana,Dekalb,Auburn,"513 9th E St",,10/26/2004
Indiana,Marshall,Culver,"12699 Sr 17",,10/27/2004
Indiana,Jennings,Westport,"9970 Base Rd",,10/27/2004
Indiana,Fountain,Kingman,"1672 Lake Hideway W Rd",,10/28/2004
Indiana,Cass,Logansport,"211 Ottawa W St",,10/29/2004
Indiana,Vermillion,Clinton,"1458 Brouliettes Rd",,11/01/2004
Indiana,Clark,Clarksville,"1470 Broadway 127",,11/01/2004
Indiana,Vigo,"Terre Haute","2150 3rd N St 222",,11/02/2004
Indiana,Jackson,Seymour,"611 Jackson Park S Dr B",,11/03/2004
Indiana,Benton,Boswell,"307 Old Us 41 S 3",,11/04/2004
Indiana,Clark,Nabb,"18411 Michigan Rd",,11/04/2004
Indiana,Randolph,Winchester,"2719 300 E S",,11/05/2004
Indiana,Jackson,Freetown,"650 11496 E W",,11/05/2004
Indiana,Dekalb,Waterloo,"615 Walnut W St",,11/09/2004
Indiana,Bartholomew,Columbus,"6770 Cr 650 W S",,11/09/2004
Indiana,Tippecanoe,Lafayette,"2120 Hawthorne Ln",,11/09/2004
Indiana,Noble,Kendallville,"307 Drake W Rd",,11/09/2004
Indiana,Lagrange,Lagrange,"205 Nursery St",,11/11/2004
Indiana,Jennings,"North Vernon","8466 Cr 500w N",,11/12/2004
Indiana,Knox,Oaktown,"8894 Joseph Emison Rd",,11/13/2004
Indiana,Switzerland,Bennington,"61 Shiloh N Rd",,11/17/2004
Indiana,Noble,Kendallville,"511 Richmond E St",,11/17/2004
Indiana,Jefferson,Madison,"419 Emmons St",,11/18/2004
Indiana,Spencer,Richland,"3331 550 W N",,11/18/2004
Indiana,Pike,Otwell,"2321 Cr 700 E N",,11/18/2004
Indiana,Jefferson,Madison,"1245 Walnut N St",,11/19/2004
Indiana,Jennings,Butlerville,"750 Cr 650 E N",,11/19/2004
Indiana,Jefferson,Madison,"1734 Blackmore",,11/24/2004
Indiana,Clark,Sellersburg,"638 Georgian Ave",,12/01/2004
Indiana,Howard,Kokomo,"1216 Alto E Rd",,12/02/2004
Indiana,Fulton,Rochester,"402 Pontiac St",,12/05/2004
Indiana,Elkhart,Elkhart,"910 Marion W St",,12/05/2004
Indiana,Harrison,Palmyra,"1767 Dogwood Estates",,12/05/2004
Indiana,Vigo,"Terre Haute","2110 7th S St",,12/06/2004
Indiana,Washington,Pekin,"100 B St",,12/08/2004
Indiana,Marshall,Plymouth,"308 Plum N St",,12/08/2004
Indiana,Jefferson,"North Madison","619 Walnut N St",,12/08/2004
Indiana,Vigo,"Terre Haute","2611 7th S St",,12/08/2004
Indiana,Dubois,Huntingburg,"1104 Van Buren N St",,12/09/2004
Indiana,Harrison,Elizabeth,"8770 Lotticks Corner Rd",,12/09/2004
Indiana,Warrick,Boonville,"7144 Sr61",,12/09/2004
Indiana,Jackson,Crothersville,"100 Dixon E St",,12/10/2004
Indiana,Tippecanoe,Dayton,"759 South St 10",,12/11/2004
Indiana,Parke,Rockville,"10314 Redrose Ln",,12/13/2004
Indiana,Marshall,Plymouth,"1012 Washington W St",,12/16/2004
Indiana,Delaware,Muncie,"405 Hutchinson S St",,12/16/2004
Indiana,Washington,Fredericksburg,"8427 Washington School W Rd",,12/17/2004
Indiana,Daviess,Washington,"114 Sycamore St",,12/19/2004
Indiana,Scott,Austin,"6159 Terry N Rd",,12/20/2004
Indiana,Howard,Kokomo,"4021 Lafountain S St",,12/20/2004
Indiana,Marion,Indianapolis,"3330 Meridian N St 212",,12/22/2004
Indiana,Steuben,Fremont,"275 Lane 140 Little Otter Lake",,12/26/2004
Indiana,Vigo,"Terre Haute","1414 Barbour St",,01/03/2005
Indiana,Jefferson,Madison,"148 Skyline W Dr 96",,01/03/2005
Indiana,Vigo,"Terre Haute","5350 Estate Rd",,01/03/2005
Indiana,Gibson,"Oakland City","214 Morton W",,01/04/2005
Indiana,Sullivan,Sullivan,"1488 Cr 300 N E",,01/07/2005
Indiana,Jefferson,Dupont,"3985 Cr 500 E S",,01/10/2005
Indiana,Noble,Kendallville,"711 Diamond E St",,01/11/2005
Indiana,Fulton,Kewanna,"7500 200 South W",,01/12/2005
Indiana,Fulton,Rochester,"502 Jefferson St",,01/13/2005
Indiana,Floyd,"New Albany","830 9th W St",,01/14/2005
Indiana,Decatur,Greensburg,"2329 Broadway N St 118",,01/17/2005
Indiana,Floyd,"New Albany","1816 Market E",,01/17/2005
Indiana,Morgan,Martinsville,"2430 Old Sr 37",,01/18/2005
Indiana,Shelby,"Flat Rock","1503 Vandalia Rd",,01/19/2005
Indiana,Daviess,Washington,"105 Sundale Trailer Court",,01/19/2005
Indiana,Jefferson,Deputy,"15252 Blake W Rd",,01/20/2005
Indiana,Clark,Charlestown,"1015 Harry Hughes Rd",,01/21/2005
Indiana,Brown,Nashville,"1217 Sr 135 S",,01/21/2005
Indiana,Vermillion,Jonestown,"744 Main St/sr 550 W",,01/21/2005
Indiana,Gibson,"Oakland City","411 Lincoln N",,01/22/2005
Indiana,Warrick,Boonville,"388 Geneva Way",,01/24/2005
Indiana,Wabash,Wabash,"78 Canal W St 1/2",,01/26/2005
Indiana,Harrison,Corydon,"2965 Dixie Rd",,01/26/2005
Indiana,Vanderburgh,Evansville,"1433 Barker S Ave Apt",,01/27/2005
Indiana,Delaware,Muncie,"1400 Stockport N Dr",,01/27/2005
Indiana,Knox,Oaktown,"13614 Chastain N Rd",,01/27/2005
Indiana,Steuben,Fremont,"355 Lane 350 Jimmerson Lake",,01/28/2005
Indiana,Johnson,Greenwood,"398 Schooly Dr",,01/28/2005
Indiana,Bartholomew,Columbus,"1721 Elm St",,01/28/2005
Indiana,Parke,Rosedale,"9633 Us Hwy 41 S Hwy",,01/31/2005
Indiana,Marshall,Culver,"12665 Sr 17 1/2",,01/31/2005
Indiana,Franklin,Brookville,"11149 Little Duck Rd",,02/04/2005
Indiana,Morgan,Martinsville,"580 Harrison W St",,02/04/2005
Indiana,Vanderburgh,Evansville,"1901 St. James N Blvd Apt",,02/05/2005
Indiana,Jefferson,Deputy,"15919 250 N W",,02/08/2005
Indiana,Jackson,Vallonia,"984 Coats W Rd",,02/09/2005
Indiana,Monroe,Bloomington,"211 Kimble S Dr B-15",,02/09/2005
Indiana,Vermillion,"Saint Bernice","12450 Sr 71 S",,02/10/2005
Indiana,Jefferson,Hanover,"500 Rainbow Ln 3b",,02/10/2005
Indiana,Noble,Kendallville,"9567 1000 East N",,02/11/2005
Indiana,Wabash,Lagro,"200 Davis St",,02/11/2005
Indiana,Harrison,Corydon,"5280 Union Chapel Rd",,02/11/2005
Indiana,Martin,Loogootee,"700 Jackson Street",,02/15/2005
Indiana,Clark,Borden,"23205 Nicholson Knob Rd",,02/15/2005
